,School_ID,NAME_OF_SCHOOL,ZIP_Code,"Elementary, Middle, or High School",HEALTHY_SCHOOL_CERTIFIED,Safety_Icon,SAFETY_SCORE,Environment_Icon,Environment_Score,Instruction_Icon,Instruction_Score,Leaders_Icon,Leaders_Score,Teachers_Icon,Teachers_Score,Parent_Engagement_Icon,Parent_Engagement_Score,AVERAGE_STUDENT_ATTENDANCE,Rate_of_Misconducts__per_100_students_,Average_Teacher_Attendance,Graduation_Rate__,College_Enrollment_Rate__,COMMUNITY_AREA_NUMBER_S,COMMUNITY_AREA_NAME,CA,PERCENT_OF_HOUSING_CROWDED,PERCENT_HOUSEHOLDS_BELOW_POVERTY,PERCENT_AGED_16__UNEMPLOYED,PERCENT_AGED_25__WITHOUT_HIGH_SCHOOL_DIPLOMA,PERCENT_AGED_UNDER_18_OR_OVER_64,PER_CAPITA_INCOME,HARDSHIP_INDEX,ARRESTED_CASES,COMMUNITY_AREA_NUMBER
0,609859,DeWitt Clinton Elementary School,60659,ES,No,Average,47.0,Average,47.0,Average,52.0,Weak,41,Weak,36,NDA,NDA,95.30%,14.8,95.40%,NDA,NDA,2,WEST RIDGE,2,7.8,17.2,8.8,20.8,38.5,23040,46,2.0,2
1,610038,Abraham Lincoln Elementary School,60614,ES,Yes,Very Strong,99.0,Strong,74.0,Strong,66.0,Weak,65,Strong,70,Strong,56,96.00%,2.0,96.40%,NDA,NDA,7,LINCOLN PARK,7,0.8,12.3,5.1,3.6,21.5,71551,2,3.0,7
2,610281,Adam Clayton Powell Paideia Community Academy Elementary School,60649,ES,No,Average,54.0,Strong,74.0,Very Strong,84.0,Weak,63,Strong,76,Weak,46,95.60%,15.7,95.30%,NDA,NDA,43,SOUTH SHORE,43,2.8,31.1,20.0,14.0,35.7,19398,55,2.0,43
3,610185,Adlai E Stevenson Elementary School,60652,ES,No,Strong,61.0,Average,50.0,Weak,36.0,Weak,NDA,NDA,NDA,Average,47,95.70%,2.3,94.70%,NDA,NDA,70,ASHBURN,70,4.0,10.4,11.7,17.7,36.9,23482,37,4.0,70
4,609993,Agustin Lara Elementary Academy,60609,ES,No,Average,56.0,Average,45.0,Weak,37.0,Weak,65,Average,48,Average,53,95.50%,10.4,95.80%,NDA,NDA,61,NEW CITY,61,11.9,29.0,23.0,41.5,38.9,12765,91,4.0,61
5,610212,Albany Park Multicultural Academy,60625,MS,No,Strong,66.0,Strong,66.0,Strong,71.0,Weak,43,Average,50,Weak,46,97.00%,2.3,96.90%,NDA,NDA,14,ALBANY PARK,14,11.3,19.2,10.0,32.9,32.0,21323,53,1.0,14
6,609720,Albert G Lane Technical High School,60618,HS,No,Very Strong,88.0,Strong,62.0,Average,52.0,Weak,NDA,NDA,NDA,NDA,NDA,96.30%,2.1,96.20%,92.2,79.8,5,NORTH CENTER,5,0.3,7.5,5.2,4.5,26.2,57123,6,2.0,5
7,610342,Albert R Sabin Elementary Magnet School,60622,ES,No,Strong,67.0,Weak,30.0,Very Weak,18.0,Weak,NDA,NDA,NDA,NDA,NDA,94.70%,28.1,95.00%,NDA,NDA,24,WEST TOWN,24,2.3,14.7,6.6,12.9,21.7,43198,10,3.0,24
8,610524,Alcott High School for the Humanities,60618,HS,No,Strong,70.0,Strong,67.0,Average,51.0,Weak,NDA,NDA,NDA,Strong,57,92.70%,7.1,96.90%,NDA,NDA,5,NORTH CENTER,5,0.3,7.5,5.2,4.5,26.2,57123,6,2.0,5
9,610209,Alessandro Volta Elementary School,60625,ES,No,Average,43.0,Weak,28.0,Weak,37.0,Weak,62,Average,56,Average,51,96.40%,22.5,95.90%,NDA,NDA,14,ALBANY PARK,14,11.3,19.2,10.0,32.9,32.0,21323,53,1.0,14
10,609799,Alexander Graham Bell Elementary School,60618,ES,No,Very Strong,99.0,Strong,64.0,Average,46.0,Weak,51,Average,51,NDA,NDA,96.30%,6.3,95.90%,NDA,NDA,5,NORTH CENTER,5,0.3,7.5,5.2,4.5,26.2,57123,6,2.0,5
11,609947,Alexander Graham Elementary School,60609,ES,No,Average,49.0,Weak,31.0,Weak,33.0,Weak,30,Average,41,Average,48,92.50%,27.4,95.00%,NDA,NDA,61,NEW CITY,61,11.9,29.0,23.0,41.5,38.9,12765,91,4.0,61
12,609963,Alexander Hamilton Elementary School,60657,ES,No,Strong,73.0,Strong,60.0,Average,59.0,Weak,59,Average,48,Strong,57,95.30%,12.5,97.40%,NDA,NDA,6,LAKE VIEW,6,1.1,11.4,4.7,2.6,17.0,60058,5,3.0,6
13,610210,Alexander von Humboldt Elementary School,60622,ES,No,Weak,31.0,Weak,32.0,Average,45.0,Weak,NDA,NDA,NDA,Weak,43,92.50%,185.5,96.00%,NDA,NDA,24,WEST TOWN,24,2.3,14.7,6.6,12.9,21.7,43198,10,3.0,24
14,609808,Alex Haley Elementary Academy,60628,ES,No,Weak,28.0,Average,58.0,Strong,60.0,Weak,NDA,NDA,NDA,Average,47,94.90%,2.9,94.70%,NDA,NDA,49,ROSELAND,49,2.5,19.8,20.3,16.9,41.2,17949,52,2.0,49
15,610028,Alfred David Kohn Elementary School,60628,ES,No,Very Weak,19.0,Weak,22.0,Very Weak,13.0,Weak,21,Very Weak,19,Average,47,90.10%,31.2,94.20%,NDA,NDA,49,ROSELAND,49,2.5,19.8,20.3,16.9,41.2,17949,52,2.0,49
16,610098,Alfred Nobel Elementary School,60651,ES,No,Weak,37.0,Weak,37.0,Weak,35.0,Weak,48,Weak,36,Average,48,94.60%,24.8,95.20%,NDA,NDA,23,HUMBOLDT PARK,23,14.8,33.9,17.3,35.4,38.0,13781,85,7.0,23
17,610334,Al Raby High School,60624,HS,No,Average,52.0,Average,51.0,Average,53.0,Weak,NDA,NDA,NDA,NDA,NDA,80.30%,14.0,95.10%,72.2,64.2,27,EAST GARFIELD PARK,27,8.2,42.4,19.6,21.3,43.2,12961,83,3.0,27
18,610131,Ambrose Plamondon Elementary School,60608,ES,No,Average,45.0,Weak,32.0,Weak,28.0,Weak,NDA,NDA,NDA,Weak,45,96.90%,0.6,96.60%,NDA,NDA,29,NORTH LAWNDALE,29,7.4,43.1,21.2,27.6,42.7,12034,87,6.0,29
19,610316,Amelia Earhart Options for Knowledge Elementary School,60617,ES,No,Very Strong,81.0,Strong,60.0,Strong,73.0,Weak,34,Average,54,NDA,NDA,96.30%,33.4,95.40%,NDA,NDA,48,CALUMET HEIGHTS,48,2.1,11.5,20.0,11.0,44.0,28887,38,2.0,48
20,609780,Ames Middle School,60647,MS,No,Weak,38.0,Weak,27.0,Weak,35.0,Weak,26,Weak,26,Average,50,94.30%,5.3,96.00%,NDA,NDA,22,LOGAN SQUARE,22,3.2,16.8,8.2,14.8,26.2,31908,23,2.0,22
21,610339,Amos Alonzo Stagg Elementary School,60621,ES,No,Weak,23.0,Weak,35.0,Average,42.0,Weak,25,Average,42,Weak,44,91.40%,34.3,95.50%,NDA,NDA,68,ENGLEWOOD,68,3.8,46.6,28.0,28.5,42.5,11888,94,4.0,68
22,610320,Ana Roque de Duprey Elementary School,60622,ES,Yes,Average,57.0,Very Weak,12.0,Very Weak,14.0,Weak,NDA,NDA,NDA,Average,53,95.40%,77.5,95.60%,NDA,NDA,24,WEST TOWN,24,2.3,14.7,6.6,12.9,21.7,43198,10,3.0,24
23,609837,Andrew Carnegie Elementary School,60637,ES,No,Average,48.0,Weak,37.0,Strong,63.0,Weak,42,Weak,31,Average,49,94.60%,6.2,94.40%,NDA,NDA,42,WOODLAWN,42,2.9,30.7,23.4,16.5,36.1,18672,58,4.0,42
24,610060,Andrew Jackson Elementary Language Academy,60607,ES,No,Very Strong,86.0,Average,57.0,Average,46.0,Weak,NDA,NDA,NDA,NDA,NDA,97.40%,0.7,96.10%,NDA,NDA,28,NEAR WEST SIDE,28,3.8,20.6,10.7,9.6,22.2,44689,15,4.0,28
25,609869,Anna R. Langford Community Academy,60636,ES,No,Weak,31.0,Average,54.0,Weak,32.0,Weak,49,Average,50,Average,53,91.80%,29.0,95.40%,NDA,NDA,67,WEST ENGLEWOOD,67,4.8,34.4,35.9,26.3,40.7,11317,89,3.0,67
26,610229,A.N. Pritzker School,60622,ES,No,Average,59.0,Average,58.0,Strong,61.0,Weak,NDA,NDA,NDA,NDA,NDA,94.60%,36.5,95.60%,NDA,NDA,24,WEST TOWN,24,2.3,14.7,6.6,12.9,21.7,43198,10,3.0,24
27,610277,Anthony Overton Elementary School,60615,ES,No,Weak,32.0,Strong,64.0,Strong,76.0,Weak,NDA,NDA,NDA,Average,52,90.50%,24.9,94.90%,NDA,NDA,38,GRAND BOULEVARD,38,3.3,29.3,24.3,15.9,39.5,23472,57,2.0,38
28,610161,Arna Wendell Bontemps Elementary School,60636,ES,No,Weak,33.0,Average,48.0,Average,59.0,Weak,NDA,NDA,NDA,Average,53,94.20%,31.2,95.80%,NDA,NDA,67,WEST ENGLEWOOD,67,4.8,34.4,35.9,26.3,40.7,11317,89,3.0,67
29,610171,Arnold Mireles Elementary Academy,60617,ES,No,Weak,27.0,Average,43.0,Average,54.0,Weak,NDA,NDA,NDA,Average,48,92.80%,11.8,95.20%,NDA,NDA,46,SOUTH CHICAGO,46,4.7,29.8,19.7,26.6,41.1,16579,75,3.0,46
30,610037,Arthur A Libby Elementary School,60609,ES,No,Weak,36.0,Strong,60.0,Strong,60.0,Weak,NDA,NDA,NDA,Average,48,90.80%,21.6,95.10%,NDA,NDA,61,NEW CITY,61,11.9,29.0,23.0,41.5,38.9,12765,91,4.0,61
31,609887,Arthur Dixon Elementary School,60619,ES,No,Average,47.0,Average,47.0,Average,52.0,Weak,NDA,NDA,NDA,NDA,NDA,94.80%,32.2,95.60%,NDA,NDA,44,CHATHAM,44,3.3,27.8,24.0,14.5,40.3,18881,60,1.0,44
32,610268,Arthur R Ashe Elementary School,60619,ES,No,NDA,,NDA,,NDA,,Weak,NDA,NDA,NDA,Weak,39,87.90%,41.6,93.40%,NDA,NDA,44,CHATHAM,44,3.3,27.8,24.0,14.5,40.3,18881,60,1.0,44
